,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.0005070511753548743,0.001282599729881578,0.00037541281553395167,0.0006466285956404631,0.0003481019667202894,0.00014571184391161588,0.0002663257149698733,0.000747911221922015,6.443018835013238e-05,0.0006150534701262045
mape_test_IMF1,99.85429914917422,188.71437434064967,144.17548589768467,121.27086041781855,110.40935406329928,118.07201084585475,113.51911666499959,114.14192612567943,100.3207368052043,598.1770591397446
mse_test_IMF2,6.76937663486719e-05,0.0002033301440977138,5.136382769400659e-05,0.00014885332857292346,7.74016617546756e-05,3.66087863935485e-05,5.578173558705949e-05,0.0001177093116595692,1.3052791734923681e-05,6.77916339377762e-05
mape_test_IMF2,109.18969829860052,187.27595680957612,344.3802509868853,453.1118076454081,277.4087050362091,198.53555158179336,157.39282526351911,533.1343655782923,164.33213187454967,70.00836642767817
mse_test_IMF3,3.2144284135093744e-06,4.548127046788644e-05,1.9685506550416737e-05,4.4929922326599985e-06,1.1485911229582532e-05,4.355882280186022e-06,4.55260168860159e-06,3.9043475648451167e-05,1.999261578034461e-06,1.3098010362972974e-05
mape_test_IMF3,14.813962233927544,57.30602858238182,94.44397890283092,13.995765243776692,59.82122301622519,55.311469449391936,25.0224847016706,58.672263981638174,30.529525805500167,38.276261325745445
mse_test_IMF4,5.711383157356051e-05,7.897598017259303e-05,2.5606609335765884e-05,5.756313685362509e-05,3.0382552180591644e-05,5.563751761981311e-06,3.3429289962822275e-05,8.945502908216723e-05,3.236794676059661e-06,4.004690603471151e-05
mape_test_IMF4,148.64036019814432,58.87100612626739,29.888394991752676,49.042442328748706,38.737636162120076,73.44747692147556,304.243525737662,31.328433294161535,41.15688379461114,54.15788787677956
mse_test_IMF5,1.3077689078964569e-05,2.6471942850019905e-05,1.094107924974194e-05,1.553196566555246e-05,1.7624313699390828e-05,1.0088899622106685e-05,1.581307260323483e-05,5.83933296165151e-06,3.20247488537609e-06,1.573702574738968e-05
mape_test_IMF5,17.46352309291701,13.324657922483004,1.052898414600316,13.789712396781335,6.15494389981257,1.1359618257159736,5.492223572790783,13.179160229203973,14.689191805299796,23.50990689072938
mse_test_IMF6,9.23039875285767e-06,2.4942305209892095e-06,,3.676787332878166e-06,1.0945713860990082e-06,,1.0657657407371002e-06,2.3734070418929917e-06,4.944746239926291e-06,1.019752992784712e-05
mape_test_IMF6,0.7019122057327692,0.30235475649758126,,0.3519388359517833,0.18025464134594915,,0.18145590928350117,0.3069139108671951,0.9434625695305091,1.0513495319835575
