,PETR4,VALE3,BOVA11,ITUB4,BBDC4,B3SA3,BBAS3,ABEV3,MGLU3,VVAR3
mse_test_IMF1,0.00042471618329941363,0.0010649112132120882,0.00035055114252602516,0.0005865781752948157,0.0003148703442029951,0.00020029057926035786,0.0002574581324221649,0.0006707540585023585,6.579263936307726e-05,0.000512518329325851
mape_test_IMF1,121.38476992847389,124.35991720529734,111.89646188723657,121.72895210448698,112.83093758540552,495.5596390820181,157.5130192234563,106.13481389114136,146.11583576713244,119.33943448078523
mse_test_IMF2,0.00012872848711833538,0.00028884672889755564,6.091385083054261e-05,0.00011256937341218998,4.881064620777892e-05,3.5016546110060295e-05,6.579838634720698e-05,0.00015842240123682197,1.4834261132671068e-05,8.090346056547909e-05
mape_test_IMF2,373.99204542131935,143.25132616028753,190.0458003370812,129.91080002902004,115.05174661238829,238.18340699325535,1179.606592485361,310.068272702973,196.31189033995568,179.87827941323022
mse_test_IMF3,7.448302385178033e-05,9.040797893926062e-05,2.8993182555178875e-05,9.048527899722699e-05,1.763708820318544e-05,1.3567348930928033e-05,2.330398533681959e-05,0.0001148335998544739,2.7428497886341725e-05,7.614361657302302e-05
mape_test_IMF3,76.3795625379986,69.51418255072079,65.09047883281298,181.77738206364725,140.2854534991841,78.05114485115703,44.773291035196195,117.2310160632119,94.19582749374872,41.465063869993
mse_test_IMF4,6.240652153451478e-05,7.912723418557332e-05,2.545617729392191e-05,4.381865347894366e-05,3.1877925032882534e-05,5.659187270878865e-06,3.5067126071850986e-05,9.343804306230865e-05,3.406962880360801e-06,5.722166784373307e-05
mape_test_IMF4,56.17578244452967,295.9272868181445,29.379268126976264,41.49422585138629,27.053268526798675,629.7373324315579,55.26655667472915,30.191921909994857,39.88176931006932,52.445787266245226
mse_test_IMF5,1.8369917283010274e-05,2.6486102830905822e-05,1.0918706040777885e-05,2.6845427697892423e-05,1.8008788665573902e-05,1.0133593172494965e-05,1.611100502087422e-05,5.568956138932611e-06,3.1347393980100456e-06,1.7850075723239365e-05
mape_test_IMF5,1.3370197772075865,15.175559102475264,1.0531137233447156,10.100626856910075,5.4351691967020095,1.133870721915828,8.285810441479859,12.99539222060021,10.897766725000698,123.05690431330409
mse_test_IMF6,1.3896125400639346e-06,2.5002290140700973e-06,1.1724757827948418e-07,1.8905924618998518e-06,1.085614018969475e-06,3.8180882771969026e-07,1.0799907970161464e-06,2.45108890465229e-06,4.231587253412286e-06,9.312978833295452e-06
mape_test_IMF6,48.948091899784515,0.30257342493074846,18.594691380190973,0.23810183098574514,0.17997119439784867,0.2565589818010196,0.18350502389233878,0.3118215931247774,0.7952209198578005,11.166469869812659
mse_test_IMF7,7.700422325117114e-07,9.909051740451983e-11,2.1949666713297682e-08,1.8140077145706408e-10,8.644818743290253e-09,,1.7100339143128173e-07,4.4401494333289975e-08,7.593256657796226e-09,5.034038414655241e-07
mape_test_IMF7,0.3567425530775154,0.010190076050313138,0.05192673119042422,0.0057636288262299575,10.371530027355853,,0.1944297116327285,0.09287563097522222,0.0413421965584843,0.2062300026788982
mse_test_IMF8,,,,,9.119890275068115e-11,,,,,
mape_test_IMF8,,,,,0.003609018667787436,,,,,
